Title,Author,Genre,Height,Publisher,ID,PublishDate,Description
"Devil's Advocate, The","West, Morris",fiction,178,,177,2022,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,,178,2022,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,,179,2016,
"World's Great Thinkers, The",,philosophy,189,,180,2020,
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,,181,2014,
Broca's Brain,"Sagan, Carl",science,174,,182,2013,
Men of Mathematics,"Bell, E T",mathematics,217,,183,2013,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,,184,2016,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,224,,185,2014,
"Arthashastra, The",Kautiyla,philosophy,214,,186,2017,
We the People,Palkhivala,philosophy,216,,187,2017,
We the Nation,Palkhivala,philosophy,216,,188,2013,
"Courtroom Genius, The",Sorabjee,nonfiction,217,,189,2022,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,,190,2015,
"History of England, Foundation","Ackroyd, Peter",history,197,,191,2019,
City of Djinns,"Dalrymple, William",history,198,,192,2014,
India's Legal System,Nariman,nonfiction,177,,193,2010,
More Tears to Cry,"Sassoon, Jean",fiction,235,,194,2021,
"Ropemaker, The","Dickinson, Peter",fiction,196,,195,2019,
Angels & Demons,"Brown, Dan",fiction,170,,196,2022,
"Judge, The",,fiction,170,,197,2017,
"Attorney, The",,fiction,170,,198,2015,
"Prince, The",Machiavelli,philosophy,173,,199,2016,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,,200,2015,
Tales of Beedle the Bard,"Rowling, J K",fiction,184,,201,2012,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,,202,2011,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,,203,2010,
Girl who played with Fire,"Larsson, Steig",fiction,179,,204,2012,
Batman Handbook,,comic,270,,205,2011,
Murphy's Law,,nonfiction,178,,206,2014,
Structure and Randomness,"Tao, Terence",mathematics,252,,207,2021,
Image Processing with MATLAB,"Eddins, Steve",signal_processing,241,,208,2022,
Animal Farm,"Orwell, George",fiction,180,,209,2021,
"Idiot, The","Dostoevsky, Fyodor",fiction,197,,210,2018,
"Christmas Carol, A","Dickens, Charles",fiction,196,,211,2012,
